question,option_a,option_b,option_c,option_d,answer
What impact of technology is mentioned in the passage?,Critique of gender roles,Online education challenges,Social transformations,Shakespeare,Social transformations
Which historical event is described in this passage?,Social transformations,Industrial Revolution,Online education challenges,Shakespeare,Shakespeare
How does the author critique social norms in the passage?,English as lingua franca,Poetry and drama,Industrial Revolution,Social transformations,Industrial Revolution
What is the main theme discussed in this passage?,Marriage and wealth in society,Poetry and drama,Social transformations,Industrial Revolution,Industrial Revolution
What is the central idea of this passage?,Accessibility of information,Industrial Revolution,Critique of gender roles,Online education challenges,Industrial Revolution
What kind of literary contributions are discussed here?,Marriage and wealth in society,Social transformations,Critique of gender roles,Technological advancements,Technological advancements
What kind of literary contributions are discussed here?,Accessibility of information,Industrial Revolution,English as lingua franca,Marriage and wealth in society,English as lingua franca
Which historical event is described in this passage?,Accessibility of information,Marriage and wealth in society,English as lingua franca,Poetry and drama,Marriage and wealth in society
What type of literature is referenced in the passage?,English as lingua franca,Accessibility of information,Shakespeare,Technological advancements,Accessibility of information
What is the main theme discussed in this passage?,Shakespeare,Social transformations,Industrial Revolution,Marriage and wealth in society,Marriage and wealth in society
What role does English play according to the passage?,Industrial Revolution,Marriage and wealth in society,English as lingua franca,Social transformations,English as lingua franca
What impact of technology is mentioned in the passage?,Critique of gender roles,Poetry and drama,Shakespeare,English as lingua franca,Poetry and drama
What type of literature is referenced in the passage?,Poetry and drama,Accessibility of information,Critique of gender roles,Technological advancements,Technological advancements
What challenge is highlighted in the text?,Marriage and wealth in society,Critique of gender roles,Technological advancements,Industrial Revolution,Industrial Revolution
What type of literature is referenced in the passage?,Technological advancements,Social transformations,English as lingua franca,Industrial Revolution,Industrial Revolution
What type of literature is referenced in the passage?,Marriage and wealth in society,Poetry and drama,Online education challenges,Shakespeare,Online education challenges
What type of literature is referenced in the passage?,Shakespeare,Social transformations,Critique of gender roles,Industrial Revolution,Shakespeare
What role does English play according to the passage?,English as lingua franca,Critique of gender roles,Marriage and wealth in society,Shakespeare,English as lingua franca
What role does English play according to the passage?,Accessibility of information,English as lingua franca,Technological advancements,Poetry and drama,Accessibility of information
How does the author critique social norms in the passage?,Accessibility of information,Industrial Revolution,Critique of gender roles,Online education challenges,Industrial Revolution
What challenge is highlighted in the text?,Accessibility of information,Technological advancements,Poetry and drama,Industrial Revolution,Accessibility of information
What impact of technology is mentioned in the passage?,Poetry and drama,Critique of gender roles,Online education challenges,Industrial Revolution,Online education challenges
What type of literature is referenced in the passage?,English as lingua franca,Shakespeare,Online education challenges,Poetry and drama,Poetry and drama
What challenge is highlighted in the text?,English as lingua franca,Social transformations,Accessibility of information,Shakespeare,English as lingua franca
What impact of technology is mentioned in the passage?,Accessibility of information,Poetry and drama,English as lingua franca,Marriage and wealth in society,Poetry and drama
What kind of literary contributions are discussed here?,Social transformations,Shakespeare,Online education challenges,English as lingua franca,English as lingua franca
How does the author critique social norms in the passage?,English as lingua franca,Poetry and drama,Accessibility of information,Social transformations,English as lingua franca
What role does English play according to the passage?,Technological advancements,Industrial Revolution,Critique of gender roles,Shakespeare,Industrial Revolution
What is the central idea of this passage?,Marriage and wealth in society,Critique of gender roles,Industrial Revolution,English as lingua franca,Critique of gender roles
What is the central idea of this passage?,Social transformations,Accessibility of information,Technological advancements,Critique of gender roles,Accessibility of information
What impact of technology is mentioned in the passage?,Marriage and wealth in society,Accessibility of information,Technological advancements,Industrial Revolution,Industrial Revolution
What challenge is highlighted in the text?,Accessibility of information,Industrial Revolution,Online education challenges,Poetry and drama,Poetry and drama
What kind of literary contributions are discussed here?,Shakespeare,Accessibility of information,Critique of gender roles,Industrial Revolution,Shakespeare
What is the central idea of this passage?,Online education challenges,Poetry and drama,Marriage and wealth in society,Accessibility of information,Poetry and drama
What is the central idea of this passage?,Technological advancements,Marriage and wealth in society,English as lingua franca,Poetry and drama,Technological advancements
What type of literature is referenced in the passage?,Accessibility of information,Critique of gender roles,Marriage and wealth in society,Industrial Revolution,Accessibility of information
Which historical event is described in this passage?,Social transformations,Industrial Revolution,Poetry and drama,Critique of gender roles,Critique of gender roles
What impact of technology is mentioned in the passage?,Poetry and drama,Social transformations,English as lingua franca,Accessibility of information,Poetry and drama
What type of literature is referenced in the passage?,Critique of gender roles,Technological advancements,Accessibility of information,English as lingua franca,English as lingua franca
What challenge is highlighted in the text?,English as lingua franca,Online education challenges,Critique of gender roles,Poetry and drama,Poetry and drama
What type of literature is referenced in the passage?,Online education challenges,Social transformations,Critique of gender roles,Poetry and drama,Social transformations
What type of literature is referenced in the passage?,Critique of gender roles,Online education challenges,Industrial Revolution,Shakespeare,Shakespeare
What is the main theme discussed in this passage?,Industrial Revolution,Accessibility of information,Technological advancements,Poetry and drama,Poetry and drama
What impact of technology is mentioned in the passage?,Online education challenges,English as lingua franca,Shakespeare,Poetry and drama,Shakespeare
What type of literature is referenced in the passage?,Technological advancements,Online education challenges,Marriage and wealth in society,Accessibility of information,Online education challenges
How does the author critique social norms in the passage?,Social transformations,Accessibility of information,Marriage and wealth in society,Poetry and drama,Accessibility of information
What role does English play according to the passage?,Industrial Revolution,Marriage and wealth in society,English as lingua franca,Critique of gender roles,English as lingua franca
What is the main theme discussed in this passage?,Social transformations,Marriage and wealth in society,Shakespeare,Accessibility of information,Marriage and wealth in society
What type of literature is referenced in the passage?,Industrial Revolution,Social transformations,Accessibility of information,Poetry and drama,Accessibility of information
What role does English play according to the passage?,English as lingua franca,Industrial Revolution,Shakespeare,Accessibility of information,Industrial Revolution
How does the author critique social norms in the passage?,Critique of gender roles,Industrial Revolution,Shakespeare,Online education challenges,Shakespeare
What kind of literary contributions are discussed here?,Technological advancements,Accessibility of information,Critique of gender roles,Online education challenges,Accessibility of information
How does the author critique social norms in the passage?,Marriage and wealth in society,English as lingua franca,Technological advancements,Poetry and drama,English as lingua franca
What type of literature is referenced in the passage?,Online education challenges,English as lingua franca,Marriage and wealth in society,Accessibility of information,English as lingua franca
Which historical event is described in this passage?,Social transformations,English as lingua franca,Critique of gender roles,Shakespeare,English as lingua franca
What type of literature is referenced in the passage?,Industrial Revolution,Poetry and drama,Critique of gender roles,Social transformations,Industrial Revolution
What type of literature is referenced in the passage?,Technological advancements,Accessibility of information,English as lingua franca,Shakespeare,Shakespeare
What is the central idea of this passage?,Social transformations,Marriage and wealth in society,Critique of gender roles,Poetry and drama,Critique of gender roles
Which historical event is described in this passage?,Critique of gender roles,Online education challenges,Accessibility of information,Technological advancements,Critique of gender roles
What type of literature is referenced in the passage?,Poetry and drama,Accessibility of information,English as lingua franca,Online education challenges,Online education challenges
Which historical event is described in this passage?,Accessibility of information,Shakespeare,Social transformations,Industrial Revolution,Industrial Revolution
What impact of technology is mentioned in the passage?,Industrial Revolution,English as lingua franca,Poetry and drama,Accessibility of information,English as lingua franca
What kind of literary contributions are discussed here?,Online education challenges,Critique of gender roles,Social transformations,Accessibility of information,Online education challenges
What kind of literary contributions are discussed here?,Critique of gender roles,English as lingua franca,Online education challenges,Social transformations,Social transformations
How does the author critique social norms in the passage?,Marriage and wealth in society,Online education challenges,Poetry and drama,Industrial Revolution,Industrial Revolution
What kind of literary contributions are discussed here?,Social transformations,English as lingua franca,Online education challenges,Accessibility of information,English as lingua franca
What impact of technology is mentioned in the passage?,Poetry and drama,Social transformations,Marriage and wealth in society,Industrial Revolution,Marriage and wealth in society
Who is mentioned as an important figure in this passage?,English as lingua franca,Industrial Revolution,Accessibility of information,Marriage and wealth in society,Accessibility of information
How does the author critique social norms in the passage?,Social transformations,Accessibility of information,Shakespeare,Online education challenges,Accessibility of information
What role does English play according to the passage?,Technological advancements,Online education challenges,Industrial Revolution,Critique of gender roles,Technological advancements
What challenge is highlighted in the text?,Technological advancements,Online education challenges,Critique of gender roles,Social transformations,Technological advancements
What challenge is highlighted in the text?,Online education challenges,Marriage and wealth in society,Shakespeare,Accessibility of information,Shakespeare
Which historical event is described in this passage?,Marriage and wealth in society,Technological advancements,Poetry and drama,Accessibility of information,Poetry and drama
What is the central idea of this passage?,Online education challenges,Shakespeare,Technological advancements,Social transformations,Technological advancements
Who is mentioned as an important figure in this passage?,Poetry and drama,Social transformations,Technological advancements,Shakespeare,Poetry and drama
Which historical event is described in this passage?,Industrial Revolution,Marriage and wealth in society,English as lingua franca,Technological advancements,Industrial Revolution
Which historical event is described in this passage?,Marriage and wealth in society,Accessibility of information,Critique of gender roles,Industrial Revolution,Critique of gender roles
Who is mentioned as an important figure in this passage?,Social transformations,Accessibility of information,Online education challenges,Marriage and wealth in society,Social transformations
What is the main theme discussed in this passage?,Accessibility of information,Critique of gender roles,Technological advancements,Marriage and wealth in society,Critique of gender roles
What is the central idea of this passage?,Shakespeare,English as lingua franca,Social transformations,Critique of gender roles,Shakespeare
What kind of literary contributions are discussed here?,Accessibility of information,Critique of gender roles,Poetry and drama,Social transformations,Social transformations
Which historical event is described in this passage?,Online education challenges,Marriage and wealth in society,Accessibility of information,Poetry and drama,Marriage and wealth in society
What impact of technology is mentioned in the passage?,Technological advancements,Shakespeare,Online education challenges,Poetry and drama,Technological advancements
What is the central idea of this passage?,Industrial Revolution,Online education challenges,Shakespeare,Poetry and drama,Poetry and drama
What kind of literary contributions are discussed here?,Accessibility of information,Social transformations,Critique of gender roles,English as lingua franca,Accessibility of information
What is the main theme discussed in this passage?,Industrial Revolution,Shakespeare,Online education challenges,Critique of gender roles,Industrial Revolution
Who is mentioned as an important figure in this passage?,English as lingua franca,Marriage and wealth in society,Industrial Revolution,Shakespeare,English as lingua franca
How does the author critique social norms in the passage?,Critique of gender roles,English as lingua franca,Poetry and drama,Industrial Revolution,Critique of gender roles
What role does English play according to the passage?,Accessibility of information,Shakespeare,Critique of gender roles,English as lingua franca,Shakespeare
What is the central idea of this passage?,Critique of gender roles,English as lingua franca,Technological advancements,Social transformations,Technological advancements
What type of literature is referenced in the passage?,Marriage and wealth in society,Accessibility of information,English as lingua franca,Social transformations,Marriage and wealth in society
What is the main theme discussed in this passage?,Technological advancements,Poetry and drama,Social transformations,Shakespeare,Poetry and drama
What role does English play according to the passage?,Technological advancements,English as lingua franca,Shakespeare,Marriage and wealth in society,Technological advancements
Who is mentioned as an important figure in this passage?,Shakespeare,Social transformations,English as lingua franca,Poetry and drama,Social transformations
What is the main theme discussed in this passage?,Accessibility of information,Industrial Revolution,Online education challenges,Technological advancements,Industrial Revolution
What challenge is highlighted in the text?,Online education challenges,English as lingua franca,Poetry and drama,Accessibility of information,Accessibility of information
Who is mentioned as an important figure in this passage?,Accessibility of information,Industrial Revolution,Social transformations,Technological advancements,Industrial Revolution
Which historical event is described in this passage?,Critique of gender roles,Marriage and wealth in society,English as lingua franca,Online education challenges,Critique of gender roles
Which historical event is described in this passage?,Shakespeare,English as lingua franca,Social transformations,Accessibility of information,Accessibility of information
What impact of technology is mentioned in the passage?,English as lingua franca,Poetry and drama,Accessibility of information,Industrial Revolution,Poetry and drama
Who is mentioned as an important figure in this passage?,Accessibility of information,Technological advancements,Poetry and drama,Marriage and wealth in society,Technological advancements
What kind of literary contributions are discussed here?,Technological advancements,Industrial Revolution,Shakespeare,Poetry and drama,Technological advancements
Which historical event is described in this passage?,Technological advancements,Industrial Revolution,Poetry and drama,Online education challenges,Technological advancements
What is the central idea of this passage?,Poetry and drama,Social transformations,Accessibility of information,English as lingua franca,English as lingua franca
What is the main theme discussed in this passage?,Social transformations,Technological advancements,English as lingua franca,Poetry and drama,English as lingua franca
What impact of technology is mentioned in the passage?,Poetry and drama,Accessibility of information,Critique of gender roles,Technological advancements,Accessibility of information
What challenge is highlighted in the text?,Shakespeare,Marriage and wealth in society,English as lingua franca,Industrial Revolution,Marriage and wealth in society
How does the author critique social norms in the passage?,Shakespeare,Critique of gender roles,Poetry and drama,Social transformations,Critique of gender roles
How does the author critique social norms in the passage?,Online education challenges,Poetry and drama,Accessibility of information,Industrial Revolution,Industrial Revolution
Who is mentioned as an important figure in this passage?,English as lingua franca,Shakespeare,Industrial Revolution,Online education challenges,Shakespeare
How does the author critique social norms in the passage?,Social transformations,Accessibility of information,Poetry and drama,English as lingua franca,Poetry and drama
What is the central idea of this passage?,Industrial Revolution,Online education challenges,Technological advancements,Poetry and drama,Industrial Revolution
What challenge is highlighted in the text?,Accessibility of information,Industrial Revolution,Technological advancements,Social transformations,Accessibility of information
What impact of technology is mentioned in the passage?,Poetry and drama,Social transformations,Online education challenges,English as lingua franca,Poetry and drama
Who is mentioned as an important figure in this passage?,Social transformations,Technological advancements,Industrial Revolution,Critique of gender roles,Industrial Revolution
How does the author critique social norms in the passage?,Online education challenges,Shakespeare,Technological advancements,Accessibility of information,Accessibility of information
What kind of literary contributions are discussed here?,Accessibility of information,Social transformations,Technological advancements,Shakespeare,Social transformations
What kind of literary contributions are discussed here?,Marriage and wealth in society,English as lingua franca,Shakespeare,Poetry and drama,English as lingua franca
How does the author critique social norms in the passage?,Shakespeare,Social transformations,Marriage and wealth in society,Online education challenges,Marriage and wealth in society
What type of literature is referenced in the passage?,Online education challenges,English as lingua franca,Industrial Revolution,Technological advancements,Industrial Revolution
What is the main theme discussed in this passage?,Industrial Revolution,Social transformations,Technological advancements,Accessibility of information,Technological advancements
Which historical event is described in this passage?,Social transformations,Online education challenges,Technological advancements,Shakespeare,Technological advancements
What role does English play according to the passage?,Critique of gender roles,English as lingua franca,Accessibility of information,Shakespeare,Accessibility of information
What role does English play according to the passage?,Shakespeare,Marriage and wealth in society,Accessibility of information,English as lingua franca,Shakespeare
Which historical event is described in this passage?,Poetry and drama,Marriage and wealth in society,Shakespeare,Critique of gender roles,Shakespeare
What role does English play according to the passage?,English as lingua franca,Shakespeare,Marriage and wealth in society,Technological advancements,Marriage and wealth in society
Who is mentioned as an important figure in this passage?,Critique of gender roles,Marriage and wealth in society,Industrial Revolution,Technological advancements,Critique of gender roles
Who is mentioned as an important figure in this passage?,Critique of gender roles,English as lingua franca,Marriage and wealth in society,Industrial Revolution,Critique of gender roles
Who is mentioned as an important figure in this passage?,Accessibility of information,Industrial Revolution,Social transformations,Marriage and wealth in society,Accessibility of information
What challenge is highlighted in the text?,Marriage and wealth in society,Shakespeare,English as lingua franca,Accessibility of information,Marriage and wealth in society
What kind of literary contributions are discussed here?,Marriage and wealth in society,English as lingua franca,Technological advancements,Critique of gender roles,Critique of gender roles
What is the central idea of this passage?,English as lingua franca,Accessibility of information,Social transformations,Industrial Revolution,Industrial Revolution
What challenge is highlighted in the text?,Social transformations,Online education challenges,English as lingua franca,Critique of gender roles,Online education challenges
What is the main theme discussed in this passage?,Critique of gender roles,Industrial Revolution,Accessibility of information,Marriage and wealth in society,Accessibility of information
Who is mentioned as an important figure in this passage?,Shakespeare,Social transformations,English as lingua franca,Marriage and wealth in society,Marriage and wealth in society
Who is mentioned as an important figure in this passage?,Online education challenges,Marriage and wealth in society,Critique of gender roles,Social transformations,Marriage and wealth in society
What kind of literary contributions are discussed here?,Marriage and wealth in society,Poetry and drama,Critique of gender roles,Industrial Revolution,Poetry and drama
What is the main theme discussed in this passage?,English as lingua franca,Industrial Revolution,Online education challenges,Poetry and drama,Online education challenges
Which historical event is described in this passage?,Critique of gender roles,Accessibility of information,Social transformations,Online education challenges,Online education challenges
What type of literature is referenced in the passage?,Industrial Revolution,Critique of gender roles,Poetry and drama,Marriage and wealth in society,Marriage and wealth in society
What impact of technology is mentioned in the passage?,Poetry and drama,Technological advancements,Critique of gender roles,Accessibility of information,Technological advancements
What role does English play according to the passage?,Social transformations,Industrial Revolution,Shakespeare,Marriage and wealth in society,Marriage and wealth in society
What kind of literary contributions are discussed here?,Online education challenges,Accessibility of information,Industrial Revolution,English as lingua franca,English as lingua franca
Which historical event is described in this passage?,Critique of gender roles,Accessibility of information,Marriage and wealth in society,English as lingua franca,Critique of gender roles
Which historical event is described in this passage?,Shakespeare,Online education challenges,Poetry and drama,Industrial Revolution,Shakespeare
What challenge is highlighted in the text?,Technological advancements,Critique of gender roles,Shakespeare,Accessibility of information,Technological advancements
How does the author critique social norms in the passage?,Marriage and wealth in society,Online education challenges,Industrial Revolution,Poetry and drama,Industrial Revolution
What kind of literary contributions are discussed here?,Online education challenges,Critique of gender roles,Marriage and wealth in society,English as lingua franca,Online education challenges
What kind of literary contributions are discussed here?,Accessibility of information,Social transformations,Poetry and drama,Industrial Revolution,Poetry and drama
Which historical event is described in this passage?,Industrial Revolution,Shakespeare,Technological advancements,English as lingua franca,Industrial Revolution
What challenge is highlighted in the text?,Online education challenges,Shakespeare,Social transformations,Critique of gender roles,Social transformations
What impact of technology is mentioned in the passage?,Marriage and wealth in society,Critique of gender roles,Social transformations,Poetry and drama,Poetry and drama
What role does English play according to the passage?,English as lingua franca,Accessibility of information,Social transformations,Marriage and wealth in society,English as lingua franca
Which historical event is described in this passage?,Social transformations,Marriage and wealth in society,Critique of gender roles,Industrial Revolution,Marriage and wealth in society
What impact of technology is mentioned in the passage?,Technological advancements,Industrial Revolution,Online education challenges,Social transformations,Online education challenges
How does the author critique social norms in the passage?,Social transformations,Poetry and drama,English as lingua franca,Accessibility of information,Accessibility of information
What is the central idea of this passage?,Technological advancements,Shakespeare,Social transformations,Industrial Revolution,Industrial Revolution
Who is mentioned as an important figure in this passage?,English as lingua franca,Marriage and wealth in society,Industrial Revolution,Accessibility of information,English as lingua franca
How does the author critique social norms in the passage?,Industrial Revolution,Poetry and drama,Shakespeare,Accessibility of information,Shakespeare
What type of literature is referenced in the passage?,Industrial Revolution,Shakespeare,Accessibility of information,Critique of gender roles,Critique of gender roles
What kind of literary contributions are discussed here?,Technological advancements,Accessibility of information,Shakespeare,Critique of gender roles,Shakespeare
What type of literature is referenced in the passage?,Poetry and drama,Accessibility of information,Social transformations,Critique of gender roles,Poetry and drama
What impact of technology is mentioned in the passage?,Marriage and wealth in society,Accessibility of information,Industrial Revolution,Technological advancements,Marriage and wealth in society
What role does English play according to the passage?,Poetry and drama,Marriage and wealth in society,English as lingua franca,Social transformations,Marriage and wealth in society
What type of literature is referenced in the passage?,Marriage and wealth in society,Social transformations,Industrial Revolution,Critique of gender roles,Marriage and wealth in society
What impact of technology is mentioned in the passage?,Accessibility of information,Critique of gender roles,Technological advancements,English as lingua franca,Accessibility of information
How does the author critique social norms in the passage?,Critique of gender roles,Social transformations,Technological advancements,Online education challenges,Social transformations
What type of literature is referenced in the passage?,Social transformations,English as lingua franca,Accessibility of information,Technological advancements,Technological advancements
What impact of technology is mentioned in the passage?,Shakespeare,Poetry and drama,Technological advancements,Accessibility of information,Shakespeare
What role does English play according to the passage?,Online education challenges,Critique of gender roles,English as lingua franca,Technological advancements,Critique of gender roles
How does the author critique social norms in the passage?,Online education challenges,Shakespeare,Industrial Revolution,Marriage and wealth in society,Marriage and wealth in society
What challenge is highlighted in the text?,Accessibility of information,Shakespeare,Critique of gender roles,Technological advancements,Critique of gender roles
What type of literature is referenced in the passage?,Critique of gender roles,Industrial Revolution,Technological advancements,English as lingua franca,English as lingua franca
What challenge is highlighted in the text?,Critique of gender roles,Social transformations,Marriage and wealth in society,Technological advancements,Social transformations
What kind of literary contributions are discussed here?,Accessibility of information,English as lingua franca,Technological advancements,Online education challenges,Accessibility of information
What is the main theme discussed in this passage?,Shakespeare,Accessibility of information,Online education challenges,Technological advancements,Accessibility of information
What is the central idea of this passage?,Shakespeare,Online education challenges,Critique of gender roles,Technological advancements,Shakespeare
What type of literature is referenced in the passage?,Online education challenges,Marriage and wealth in society,Accessibility of information,Shakespeare,Shakespeare
What kind of literary contributions are discussed here?,Critique of gender roles,Online education challenges,Social transformations,Shakespeare,Shakespeare
What role does English play according to the passage?,Shakespeare,Online education challenges,Poetry and drama,Marriage and wealth in society,Poetry and drama
What is the central idea of this passage?,Industrial Revolution,Critique of gender roles,English as lingua franca,Technological advancements,Industrial Revolution
Which historical event is described in this passage?,Industrial Revolution,Accessibility of information,Social transformations,Critique of gender roles,Industrial Revolution
What type of literature is referenced in the passage?,Shakespeare,Poetry and drama,Online education challenges,Accessibility of information,Online education challenges
How does the author critique social norms in the passage?,Shakespeare,Critique of gender roles,Marriage and wealth in society,Poetry and drama,Shakespeare
Who is mentioned as an important figure in this passage?,Online education challenges,English as lingua franca,Industrial Revolution,Social transformations,Social transformations
What is the central idea of this passage?,Technological advancements,Shakespeare,Marriage and wealth in society,Industrial Revolution,Marriage and wealth in society
What type of literature is referenced in the passage?,Accessibility of information,Poetry and drama,Technological advancements,Industrial Revolution,Accessibility of information
What role does English play according to the passage?,Accessibility of information,Technological advancements,Shakespeare,Poetry and drama,Accessibility of information
How does the author critique social norms in the passage?,Critique of gender roles,Industrial Revolution,English as lingua franca,Social transformations,Social transformations
What type of literature is referenced in the passage?,Online education challenges,English as lingua franca,Technological advancements,Accessibility of information,Technological advancements
What is the central idea of this passage?,Online education challenges,English as lingua franca,Accessibility of information,Technological advancements,English as lingua franca
What is the main theme discussed in this passage?,Shakespeare,Marriage and wealth in society,English as lingua franca,Industrial Revolution,Shakespeare
What kind of literary contributions are discussed here?,Accessibility of information,English as lingua franca,Industrial Revolution,Marriage and wealth in society,Accessibility of information
What type of literature is referenced in the passage?,Critique of gender roles,English as lingua franca,Marriage and wealth in society,Online education challenges,Critique of gender roles
What challenge is highlighted in the text?,Technological advancements,Critique of gender roles,Accessibility of information,Social transformations,Accessibility of information
What impact of technology is mentioned in the passage?,Accessibility of information,Social transformations,Shakespeare,Industrial Revolution,Social transformations
How does the author critique social norms in the passage?,English as lingua franca,Technological advancements,Marriage and wealth in society,Industrial Revolution,Industrial Revolution
Which historical event is described in this passage?,Industrial Revolution,Critique of gender roles,Shakespeare,Marriage and wealth in society,Shakespeare
What kind of literary contributions are discussed here?,Marriage and wealth in society,Poetry and drama,Technological advancements,Online education challenges,Technological advancements
What challenge is highlighted in the text?,Shakespeare,Technological advancements,Social transformations,English as lingua franca,Social transformations
Which historical event is described in this passage?,Marriage and wealth in society,English as lingua franca,Critique of gender roles,Accessibility of information,Marriage and wealth in society
What impact of technology is mentioned in the passage?,Online education challenges,Shakespeare,Poetry and drama,English as lingua franca,Shakespeare
What type of literature is referenced in the passage?,Social transformations,Poetry and drama,Online education challenges,English as lingua franca,Social transformations
Who is mentioned as an important figure in this passage?,Critique of gender roles,Industrial Revolution,Poetry and drama,Technological advancements,Critique of gender roles
Who is mentioned as an important figure in this passage?,Poetry and drama,Marriage and wealth in society,Shakespeare,Industrial Revolution,Marriage and wealth in society
How does the author critique social norms in the passage?,Marriage and wealth in society,Critique of gender roles,English as lingua franca,Accessibility of information,Marriage and wealth in society
What impact of technology is mentioned in the passage?,English as lingua franca,Technological advancements,Shakespeare,Accessibility of information,Shakespeare
What is the central idea of this passage?,Accessibility of information,Industrial Revolution,Poetry and drama,English as lingua franca,Poetry and drama
Which historical event is described in this passage?,Shakespeare,Technological advancements,Industrial Revolution,Poetry and drama,Technological advancements
What role does English play according to the passage?,Accessibility of information,Marriage and wealth in society,Critique of gender roles,Poetry and drama,Accessibility of information
Which historical event is described in this passage?,Accessibility of information,Technological advancements,Poetry and drama,Critique of gender roles,Poetry and drama
Which historical event is described in this passage?,Online education challenges,Accessibility of information,English as lingua franca,Social transformations,Accessibility of information
What type of literature is referenced in the passage?,Technological advancements,Critique of gender roles,Accessibility of information,Industrial Revolution,Technological advancements
What kind of literary contributions are discussed here?,Industrial Revolution,Poetry and drama,Accessibility of information,Critique of gender roles,Industrial Revolution
What kind of literary contributions are discussed here?,Shakespeare,Technological advancements,Poetry and drama,English as lingua franca,Technological advancements
What impact of technology is mentioned in the passage?,Technological advancements,Industrial Revolution,Critique of gender roles,Marriage and wealth in society,Industrial Revolution
Who is mentioned as an important figure in this passage?,Technological advancements,Critique of gender roles,Accessibility of information,Industrial Revolution,Critique of gender roles
What kind of literary contributions are discussed here?,Critique of gender roles,Poetry and drama,Online education challenges,Shakespeare,Poetry and drama
What impact of technology is mentioned in the passage?,Industrial Revolution,Poetry and drama,Accessibility of information,English as lingua franca,Industrial Revolution
Who is mentioned as an important figure in this passage?,Poetry and drama,Accessibility of information,Critique of gender roles,Online education challenges,Critique of gender roles
What role does English play according to the passage?,Critique of gender roles,Accessibility of information,Marriage and wealth in society,Online education challenges,Online education challenges
What type of literature is referenced in the passage?,Critique of gender roles,Technological advancements,Online education challenges,Social transformations,Online education challenges
What is the central idea of this passage?,Accessibility of information,Critique of gender roles,Poetry and drama,Online education challenges,Online education challenges
What impact of technology is mentioned in the passage?,Critique of gender roles,Poetry and drama,Technological advancements,Online education challenges,Technological advancements
What role does English play according to the passage?,English as lingua franca,Industrial Revolution,Technological advancements,Social transformations,Industrial Revolution
How does the author critique social norms in the passage?,Social transformations,Poetry and drama,Technological advancements,Online education challenges,Technological advancements
What challenge is highlighted in the text?,Social transformations,Shakespeare,Accessibility of information,Poetry and drama,Accessibility of information
Who is mentioned as an important figure in this passage?,Shakespeare,Technological advancements,Critique of gender roles,Poetry and drama,Shakespeare
What kind of literary contributions are discussed here?,Marriage and wealth in society,Critique of gender roles,Technological advancements,Industrial Revolution,Technological advancements
What impact of technology is mentioned in the passage?,Shakespeare,Marriage and wealth in society,Technological advancements,Industrial Revolution,Marriage and wealth in society
What challenge is highlighted in the text?,Online education challenges,Marriage and wealth in society,Critique of gender roles,English as lingua franca,Critique of gender roles
What type of literature is referenced in the passage?,Marriage and wealth in society,Online education challenges,Social transformations,Shakespeare,Social transformations
What kind of literary contributions are discussed here?,Accessibility of information,Shakespeare,English as lingua franca,Industrial Revolution,English as lingua franca
What type of literature is referenced in the passage?,Technological advancements,Marriage and wealth in society,English as lingua franca,Poetry and drama,English as lingua franca
What is the central idea of this passage?,Critique of gender roles,Industrial Revolution,Shakespeare,Technological advancements,Industrial Revolution
What kind of literary contributions are discussed here?,Accessibility of information,English as lingua franca,Technological advancements,Marriage and wealth in society,Accessibility of information
What role does English play according to the passage?,Shakespeare,Critique of gender roles,English as lingua franca,Online education challenges,Critique of gender roles
Who is mentioned as an important figure in this passage?,Critique of gender roles,Online education challenges,Marriage and wealth in society,Social transformations,Marriage and wealth in society
What type of literature is referenced in the passage?,Accessibility of information,Critique of gender roles,Social transformations,English as lingua franca,Critique of gender roles
What role does English play according to the passage?,Shakespeare,Marriage and wealth in society,Critique of gender roles,Poetry and drama,Shakespeare
Who is mentioned as an important figure in this passage?,Industrial Revolution,Social transformations,Accessibility of information,Technological advancements,Social transformations
What role does English play according to the passage?,English as lingua franca,Accessibility of information,Online education challenges,Marriage and wealth in society,English as lingua franca
What role does English play according to the passage?,Accessibility of information,English as lingua franca,Marriage and wealth in society,Industrial Revolution,English as lingua franca
Who is mentioned as an important figure in this passage?,English as lingua franca,Poetry and drama,Shakespeare,Technological advancements,Shakespeare
What kind of literary contributions are discussed here?,Technological advancements,Shakespeare,Social transformations,Marriage and wealth in society,Marriage and wealth in society
What challenge is highlighted in the text?,Technological advancements,Online education challenges,English as lingua franca,Industrial Revolution,Technological advancements
What kind of literary contributions are discussed here?,Poetry and drama,Online education challenges,Social transformations,Marriage and wealth in society,Poetry and drama
What type of literature is referenced in the passage?,Industrial Revolution,Online education challenges,Accessibility of information,Poetry and drama,Accessibility of information
What impact of technology is mentioned in the passage?,Critique of gender roles,Shakespeare,Marriage and wealth in society,Accessibility of information,Marriage and wealth in society
What challenge is highlighted in the text?,Social transformations,English as lingua franca,Critique of gender roles,Shakespeare,English as lingua franca
Who is mentioned as an important figure in this passage?,Shakespeare,Accessibility of information,Marriage and wealth in society,Critique of gender roles,Accessibility of information
What is the central idea of this passage?,Technological advancements,Online education challenges,Poetry and drama,English as lingua franca,English as lingua franca
What is the main theme discussed in this passage?,Marriage and wealth in society,English as lingua franca,Industrial Revolution,Social transformations,Industrial Revolution
